리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
13388321,cl****,2024-03-20 09:19:41.387354,우와 절판된 책이었는데 나와서 바로 구입합니다!!!,도움돼요,4
13388318,lr******,2024-03-20 09:18:58.885873,뇌과학자인 박문호 박사님이 추천한 책이라 궁금했는데 드디어 나오네요! 빨리보고싶어 바로주문했어요 기대됩니다:),추천해요,4
13388297,wn******,2024-03-20 09:13:15.966805,경단녀라 요즘 자기계발에 관심이 많아서 찾아 구매해봅니다. 절판되었다고 하던데 다시 출간될 정도이니 책 내용이 기대되네요. 지금 저에게 필요한 정보가 가득할것같습니다.,도움돼요,4
13668694,y2******,2024-05-01 15:28:16.091522,인기리에 오랜만에 재본되서 너무 반가웠습니다,집중돼요,4
13644555,le********,2024-04-27 15:33:58.438084,요약의 힘에 대한 방법론 ,최고예요,4
13638403,yu*******,2024-04-26 14:21:46.39755,앞엔 반복되는 말이 많아요. 언제 본론으로 들어갈지….,집중돼요,3
13631666,so****,2024-04-25 06:00:56.376717,전체 내용중 요약하는 힘 하나만 내 몸에 익혀도 사는데 매우 도움될것 같아요.,도움돼요,4
13587458,go****,2024-04-19 02:12:07.032571,"무언가 기술을 얻고자 하면 먼저 양적인 축적이 전제 되어야 질적인 변화를 끌어낼 수 있다는 결론!
그동안 세월로 느꼈던 생각을 결정해주는 말이다.
세상을 살아가려면 나만의 기술이 필요한데...보통사람들에게는 숙달로 이어지는 양적인 시간들이 많이 필요하다.",쉬웠어요,4
13584721,ic*****,2024-04-18 21:40:58.224173,경제및 자기개발 관련된 책을 읽을려고 구입했습니다.. 도움이 많이 될듯합니다. ,도움돼요,4
13583046,dr****,2024-04-18 17:21:14.015942,요즘 베스트셀러여서 구매했어요,도움돼요,4
13581570,hs********,2024-04-18 11:18:15.462704,사이토다카시 일류의 조건 재미있게 읽고 있습니다^,도움돼요,4
13580753,mi****,2024-04-18 06:06:31.238516,중고로 높은 가격에 책정되었던 책이 신간으로 나왔다는 소식에 바로 구매완료 했습니다,도움돼요,4
13576010,eu*****************,2024-04-17 11:12:21.116332,뻔한 자기계발서 내용과 다릅니다. 배우는 것에 대해 다시 생각해보는 계기가 되었어요,도움돼요,4
13572282,yh*****,2024-04-16 19:51:15.459958,"감사합니다
감사합니다",도움돼요,4
13567012,sh******,2024-04-15 22:06:12.065961,재밌게 읽습니다. 자기 개발서로 추천합니다!,쉬웠어요,4
13566262,or******,2024-04-15 20:15:30.009554,나쁘지않았습니다. 모티베이션하기에 좋은책같아요!,도움돼요,4
13540283,go****,2024-04-11 23:46:29.185689,"3가지 힘(모방, 요약, 추진 ), 나만의 스타일 만들기!
인생살이에 필요한 보편적 능력",추천해요,4
13538684,jb****,2024-04-11 19:04:35.362277,"안어는 즉흥적 제스처이다. 
",집중돼요,4
13526083,pl*****,2024-04-10 00:01:45.428969,열심히 실천해보려고 읽었습니다. 힘이 나네요,도움돼요,4
13525206,bb******,2024-04-09 22:46:29.494394,심란한중에 먼가 집중할게 필요했는데...좋네요  지인들에게도 추천하렵니자,최고예요,4
13524428,tr*******,2024-04-09 20:26:56.468624,"훔쳐서 내것으로 만들고 핵심을 잘 요약하고 확실하게 추진해 나가라.,~~",도움돼요,4
13389851,sv****,2024-03-20 14:28:53.470514,"아이를 키우는 입장에서 일류의 조건이라니
궁금하지 않을 수가 없네요^^
절판된 책이 재출간된거라 넘넘 기대하고 있습니다!!",도움돼요,4
13389081,ss*****,2024-03-20 12:00:43.472456,"시대와 가치관이 달라졌어도 좋은 책은 다시 읽어도 좋은 것 같습니다.
오래전 읽었던 책인데 소장하고자 구매했어요.",도움돼요,4
13389070,hy*****,2024-03-20 11:51:40.824603,"절판된 책이 다시 나와서 기쁩니다
박문호 박사님이 추천해주셔서 꼭 보고 싶었는데 읽어보니 왜 추천했는지 알겠어요!",추천해요,4
13388671,fe*******,2024-03-20 10:25:08.961193,박문호 박사님 추선으로 꼭 읽어야 할 단 한권의 책에 추천되어 구입하게 되었습니다.  18년 만에 재출간이라니 어떤 책일지 진짜 기대 되네요  20대로 돌아간다면 이책 부터 읽을 것 이라고 하시던데 오.. 저도 늦게나마 읽어보겠습니다. ,도움돼요,4
13388667,ji******,2024-03-20 10:24:46.508677,"절판되어 꼭 읽어보고 싶었던 자기계발서 인데, 예약판매 소식에
한걸음 달려 왔습니다.  2024년 저도 꼭 읽어보고 실천해보고 싶어요!!",추천해요,4
13388567,ev******************,2024-03-20 10:13:29.348539,"너무읽고싶었던책인데 18년만의 복간된 일류조건
한분야에 통달한 전문가 일류가되기위해 꼭 읽어
보아야할 자기계발서 핵심내용은 세월이 흘러도 여전한
제일중요한 것은 근본이라는것을 말해주는책",쉬웠어요,4
13388526,bo******,2024-03-20 10:08:46.897074,"자기계발서 기대하고 있어요
일류의 조건 꼭 읽어보고 싶던 책이에요",추천해요,4
13388515,al**********************,2024-03-20 10:03:31.570618,"너무 기대했던 책이 드디어!
기쁜 마음으로 구매합니다",추천해요,4
13388509,lo******,2024-03-20 10:01:21.83689,"요즘 자기계발 책에 빠져있어서 읽고싶어서 구매했어요
절판됬었는데 다시 나왔네요. 정말 기대되요!!",추천해요,4
13388501,ch********,2024-03-20 09:58:22.797091,"올해 첫 독서목록으로 너무 기대됩니다.
빨리 받아 읽고싶어요. ",도움돼요,4
13388466,go*************,2024-03-20 09:49:45.586017,김문호 박사님 강연듣고 구매했습니다,집중돼요,4
13388450,fc******,2024-03-20 09:47:10.151703,자기계발서  좋아하는데 18년만의 복간이라니 기대하면서 구매했습니다~,도움돼요,4
13388423,dm********,2024-03-20 09:42:09.835046,세가지 기술 잘 배워놓았다가 일상생활에 잘 녹여보겠습니다~ 변화하는 세상에 꼭 필요한 지혜이자 핵심기술이 아닐까싶어요 기대됩니다,집중돼요,4
13388344,bl***************,2024-03-20 09:25:55.153689,예전에 우연히 알게됐다가 절판되어서 소장은 못했었는데 이번기회에 소장용으로 구매합니다. 다시한번 숙독하고 삶의 지혜를 얻어 살아가보려고합니다.,도움돼요,4
13388343,er*******,2024-03-20 09:25:47.777619,"절판되었던 책이라서 넘 읽어보고 싶었었는데 재출간이라니 넘 좋아요~
진짜 오랜 시간 사랑받는 자기 계발서라서 그런지 배울 점이 많네요",집중돼요,4
13388336,sm****,2024-03-20 09:24:12.858493,절판되어서 아쉬웠는데 이번에 다시 나오게 되서 기대 됩니다^^,추천해요,4
13388333,ak******,2024-03-20 09:22:30.669651,"요즘은 한분야에 능통한 ‘일류’가 되어야하는데
일류가 되기 위한 조건 세 가지인 ‘훔치는 힘’, ‘요약하는 힘’, ‘추진하는 힘’을 제대로 알아보고 싶어서 구입했어요!
절판되엇다가 다시 재판되엇다고 하니 더 궁금하네요 ㅎㅎ얼른 받아보고싶어요",추천해요,4
14429786,mo*******,2024-08-20 15:40:48.973352,아주 실망입니다. 더구나 2001년 6월에 발행된 책을 신작이라 포장해서 발행하는 출판사에 더 실망입니다. ,쉬웠어요,1
13881717,mo******************,2024-06-02 07:48:15.718289,베스트셀러지만 개인적으로 맞지 않는건지 가독성 내용 등 아쉬웠어요 다시 한번 봐야겠네요,추천해요,2
13733270,th*****,2024-05-09 22:34:02.679945,읽어보면 책 제목이 납득이 됩니다,도움돼요,4
13711148,lo******,2024-05-06 16:08:46.06131,20년 전에 나온 책이지만 다 작가가 미래에서 왔다고 생각이 들 정도로 현재에도 꼭 필요한 내용이 들어간 자기계발서이다.,도움돼요,4
13710390,zi***,2024-05-06 14:17:47.713668,"티비에서 보았던 바로 그책을 
이제 내손에서 읽어봅니다",도움돼요,4
13706094,lh*****,2024-05-05 19:48:34.918338,자기계발서로 읽어 보면 더 많은 발전을 할 것입니다.,도움돼요,4
13704892,eh******,2024-05-05 15:37:45.743776,저자가 제시하는 3가지 힘은 시대가 꽤 흘렀음에도 여전히 강조되는 본질이네요. 최고입니다.!!!,최고예요,4
13704420,ch****,2024-05-05 13:36:24.800992,일부 내용은 익숙하지만 일부는 새로웠다,도움돼요,4
13698619,ur******,2024-05-04 18:04:51.806992,자기계발에 중요한 핵심,추천해요,4
13696418,bi******,2024-05-04 12:52:59.240933,많이들 추천하기에 구입하여 읽어 봅니다. ,도움돼요,4
13683183,hk*****,2024-05-03 07:02:23.672801,"왜 베스트셀러인지 알것 같네요
꼭 읽어보세요",최고예요,4
13683071,da*****,2024-05-03 06:40:14.033627,일류를 위한 길은 다소 특별하지 않은 일을 꾸준히 해내는것,집중돼요,4
13680261,zz*******,2024-05-02 23:21:36.854778,정체되어 있는 나 자신을 위하여,도움돼요,4
13679869,qd****,2024-05-02 22:45:34.21807,"두뇌의 사용법을 제시한다
아주 좋은 책인것 같다",도움돼요,4
13679365,sk*******,2024-05-02 21:55:14.569172,재미있게 잘 읽었습니다. ,도움돼요,4
13678793,mi****,2024-05-02 21:02:32.454993,절판되어 비싼 가격에 거래된 책 드디어 만나게 되네여,도움돼요,4
13674896,tr******,2024-05-02 07:50:21.066186,간결하지만 강렬한 내용입니다,도움돼요,4
13672268,ka****,2024-05-01 23:08:01.592826,이 전부터 읽어보고 싶어서 구매했어요,도움돼요,4
13669840,ca*****,2024-05-01 18:09:09.927547,인생 설계에 대해 고민이 있다면 이 책을 찾아 읽어보세요. 어쩌면 그 답을 찾을 수 있을지도 모르겠네요!,추천해요,4
13581494,fl******,2024-04-18 11:01:08.649295,도움이 많이 됩니다 ,도움돼요,4
13563531,ym*****,2024-04-15 14:58:53.139087,실용적이네요. 왜 복간되었는지 알 것 같아요 ,도움돼요,4
13560928,ni***,2024-04-15 09:16:42.714984,자신을 발전시키는데 도움이 되는 실질적인 내용입니다.,도움돼요,4
13560543,hs****,2024-04-15 09:00:11.898623,일류의 조건을 읽고 일류가 되고자 한다.,집중돼요,4
13557031,ko****,2024-04-14 23:13:53.711659,재미있고 도움이 되네요,도움돼요,4
13550740,es***,2024-04-13 22:20:52.34703,정말 도움되는 내용입니다,집중돼요,4
13547683,wa******,2024-04-13 10:34:31.04707,좋아요 감사합니다 ,집중돼요,4
13547677,wa******,2024-04-13 10:33:46.070628,좋아요 감사합니다 ,도움돼요,4
13547643,go*******,2024-04-13 10:25:13.645032,아직 읽어보지는 않았지만 기대됩니다,추천해요,4
13541414,ah*****,2024-04-12 09:21:01.014138,잘읽겠습니다.감사합니다.,집중돼요,4
14651250,pa********,2024-09-17 20:27:39.534229,"정신노동의 필요 없이 쉽게 읽힌다. 
범용 능력으로서 숙달의 보편적 원리에 대한 저자 나름의 생각을 드러내며, 동경하는 마음, 훔치는 힘, 요약하는 힘, 추진하는 힘, 그리고 스타일의 형성을 강조한다.
대부분의 자기계발서가 그렇듯 큰 통찰이나 생각할 거리를 제공하지는 않는다. 그리고 내 삶의 방식도 크게 바뀌지는 않을 것 같다.
박문호 박사의 추천사에 낚인 느낌적인 느낌.

",쉬웠어요,3
13957614,fa****,2024-06-12 11:00:43.210139,"내가 딱 싫어하는 그다지 현지화 되지 않은듯한.. 와닿지 않는 번역... 그리고 올드한 내용..
커버만 요즘 스타일이지
실질적으로 와닿지 않는 책이였음

물론 사람마다 다르겠지만 완전 비추",도움돼요,1
13954776,wo*****,2024-06-11 21:05:19.537127,약간은 실망했습니다,쉬웠어요,2
13890992,in******,2024-06-03 14:53:49.360098,굳이..굳이..복간까지 할 책은 내기준 아닌데 읽기 쉽고 그만큼 내용도..음,쉬웠어요,3
13880260,kw********,2024-06-02 00:08:03.668385,자기개발을 구체적으로 실천할 수 있도록 한다,도움돼요,4
13875997,pe******,2024-06-01 16:03:11.045999,어떻게 살아야 하는가에 대한 참고서입니다.,도움돼요,4
13873555,ir****,2024-06-01 09:00:00.558927,다른 사람의 장점을 배울수 있는 능력,집중돼요,4
13870971,ju*****,2024-05-31 21:47:29.819185,아주 아주 강추합니다 ,도움돼요,4
13870748,eh*******,2024-05-31 21:13:21.467537,꼭 읽어요 재밌어요,집중돼요,4
13731960,tk******,2024-05-09 18:43:15.957208,독해성이 좋았고 자기개발서로 읽기에 유익했습니다.,쉬웠어요,4
13731483,ha*********,2024-05-09 17:14:25.135648,도움이 될 거 같아서 샀어요,도움돼요,4
13729928,nh*******,2024-05-09 12:23:24.906297,잘 읽었습니다 유익하네요 ,집중돼요,4
13727408,fo********,2024-05-09 05:19:28.033685,일류가 되기 위한 필독서,도움돼요,4
13724595,zq****,2024-05-08 21:43:47.151005,잘 읽어보겠습니다ㅎㅎ,추천해요,4
13723125,gr********,2024-05-08 15:49:53.875939,살면서 일류가 돼야겠다 생각한 적은 없지만 그 조건은 알고 싶다,도움돼요,4
13718600,ne*****,2024-05-07 21:10:28.765102,자기계발서로서 특별한 가치를 한 가지 얻었다. 요약의 기본을 제대로 배웠다. 이로써 이 책의 핵심을 충분히 얻었다. 나머지는 과감히 버려도 좋다.,추천해요,4
13694298,ti*****,2024-05-04 09:02:03.462966,추천 받아서 구매했는데 책이 생각보다 두껍네요. 가독성이 좋고 글씨가 커서 좋아요,집중돼요,4
13689829,go********,2024-05-03 21:44:33.125108,현재 우리가 가장 필요한 능력,최고예요,4
13687243,20*****,2024-05-03 16:09:56.866413,추천해요 꼭 읽어보시길,쉬웠어요,4
13686468,na*******,2024-05-03 14:45:23.818299,모방하고 압축하여 나의 것을 출력하라,최고예요,4
13686200,be*****,2024-05-03 14:22:02.154156,자기계발서인데 도움이되는,집중돼요,4
13683698,hs****,2024-05-03 08:59:35.327888,일류의 조건을 읽고 일류를 꿈꾸다.,도움돼요,4
13683573,ja*****,2024-05-03 08:21:27.622669,"'모차르트의 음악은 한껏 기교를 부렸다기보다 귓가에 스미는 듯한 느낌을 준다.-중략- 듣는 사람에게는 자연스럽게 녹아들지만, 깊이 음미 할 만한 매력이 있는 작품. 이러한 작품에는 보통 사람이 알 수 없는 무언가가 있다.'(p214)
 이 책에서는 '훔치는 힘', '추진하는 힘', '요약하는 힘'을 배우려고 읽었는데, 오히려 버리고, 포기하고, 무딘 칼(장비)을 가지고 작품을 만들라는 것을 배웠다. 그저 읽었다고 자랑하는 책이 아니라 오랫동안 곁에 두고 함께 늙어가는 것도 즐거울 것 같다. 나의 오랜 벗이 되어주렴.",추천해요,4
13683503,jw****,2024-05-03 08:00:45.063432,좋은 내용이 많습니다.,추천해요,4
13671325,ki*******,2024-05-01 21:22:19.405156,"메모 하며 밑줄 그으면서...
  읽는 보람과 즐거움이, 그리고 뿌듯함, 한뼘 큰듯한 으쓱함이 드는 책.(이네요...)",집중돼요,4
15613712,ch*******,2025-04-04 16:20:30.985991,한번쯤 읽어보면 좋은 책,집중돼요,4
15578188,je*****,2025-03-27 19:15:38.711006,도움되는 내용들이나 중간중간 일본어 특유의 번역체 때문에 가독성이 떨어질 때가 있습니다,도움돼요,3
15524215,yo*****,2025-03-15 16:30:52.202041,훔치는 힘 요약하는 힘 추진하는 힘. 어떤 용도의 일에라도 다 적용할  수  있을거 같아요.~~~^^,도움돼요,3
15426794,ji****,2025-02-24 19:47:40.366714,"유명인들 추천책은 믿지 못해서 좀 꺼려하는데 얼마나 도움되는 내용이 있나싶어 구매후 읽었는데 실망이네요 ㅎ 
그냥 그렇습니다
블로그 및 유튜브 요약정도 보시는게 ㅎ
차라니 ""원씽""이란 책 1년에 한번씩 보시는게 도움 될듯요",쉬웠어요,2
15398166,he******,2025-02-19 08:35:15.338698,원론적인 얘기 실망스럽다.,쉬웠어요,1
15366411,pk****,2025-02-11 23:05:39.010052,잘받았습니다. 감사합니다. ,추천해요,4
15286316,ky*******,2025-01-23 12:50:07.078241,유명한 책이라서 읽어봤습니다.,도움돼요,4
15282678,ju********,2025-01-22 14:49:01.226967,추천받아 읽게된 책인데 마음에 듭니다. 노력의 방향을 잡아줍니다.,도움돼요,4
15281049,sk****,2025-01-22 01:13:23.355849,한번쯤은 읽어볼만은 합니다 ,최고예요,3
15223093,vi********,2025-01-07 23:24:17.889979,사이토 다카시의 책은 어떤 책이든 많은 도움이 됩니다. ,도움돼요,4
15220664,wo********,2025-01-07 14:08:18.631659,인생을 살아가는데 도움이 되는 책입니다. ,도움돼요,4
15177467,jy********,2024-12-28 16:22:21.119074,도서관에서 읽고 소장하고 싶어 구입했어요,도움돼요,4
15148854,sd*****,2024-12-21 11:30:27.64357,두께도 적당하고 내용도 재밌네요.,집중돼요,4
15135096,ok*****,2024-12-17 19:07:21.070799,좋은 책 감사드립니다.,집중돼요,4
15134163,wi*****,2024-12-17 14:39:16.319073,"읽기 시작했는데, 아직 초반이라 제목을 통해 기대하는 뭔가를 내용상 압도하고 예상되는 컨텐츠들이 아직 보이지는 않네요.",쉬웠어요,2
15095104,64*******,2024-12-06 17:37:10.892233,정말 말 잘하고싶어요,추천해요,4
15088332,so*****,2024-12-04 17:23:09.272715,자신을 바꿀 수 있는 진정한 의미의 자기 계발서,도움돼요,4
15045047,sg**************,2024-11-21 21:39:01.007787,완벽한 포장을 빠르게 배송 고맙습니다,도움돼요,4
14991523,10******,2024-11-07 10:15:28.489134,쉽게 잘읽어지는것같습니다,집중돼요,4
14959909,lo******,2024-10-30 08:51:07.748801,일류는 이렇게 성장한다,도움돼요,4
14953585,ho********,2024-10-28 19:44:01.388616,재밌게 잘 읽었습니다.,도움돼요,4
14924633,in******,2024-10-21 18:37:55.066288,잘 받았습니다. 아껴보고 싶은 마음입니다. ,도움돼요,4
14866758,il******,2024-10-07 05:30:47.972523,한달에 한권읽기 도전,도움돼요,4
14852568,pl****,2024-10-03 09:31:30.444063,자기계발 분야의 최고의 도서입니다.,최고예요,4
14717144,ki******,2024-09-25 08:13:11.518802,좋습니다. 아주 좋습니다,집중돼요,4
14677989,ve****,2024-09-21 02:52:42.158626,인상적인 책이예요. ,집중돼요,4
14616813,cd****,2024-09-12 12:00:43.363192,유익한 책입니다 추천합니다,추천해요,4
14604607,ni****,2024-09-10 22:04:05.94011,지인 추천으로 구매했습니다.,추천해요,4
14516346,zs****,2024-08-30 23:19:20.165528,유튜버가 추천해서 구매했어요,최고예요,4
14504953,dh********,2024-08-29 14:04:24.724323,술술 읽을 수 있어요 추천합니다,집중돼요,4
14504950,dh********,2024-08-29 14:04:01.72546,너무 유익해요 추천합니더,집중돼요,4
14503674,kj********,2024-08-29 11:20:05.090232,어디보자 일류의조건,집중돼요,3
14495882,se*****,2024-08-28 14:38:39.792371,재미있게 잘 봤습니다.,도움돼요,4
14495557,te******,2024-08-28 14:18:19.849029,내용 좋아요. 추천합니다!,집중돼요,4
14481179,yo*******,2024-08-27 10:19:16.323281,평소 관심 갖고 있다 구입하게 되었어요,도움돼요,4
14479375,so******,2024-08-27 05:59:44.199099,좋아요~ 꼭 읽어볼 만한 책!,최고예요,4
14459256,ni***,2024-08-24 14:08:57.162015,책 내용이 아주 좋습니다. 여러번 읽고 머릿속에 담아두면 도움 될거 같아요.,도움돼요,4
14455864,pe*******,2024-08-23 22:39:03.467151,왜 유명한지 왜 추천책인지 알것 같음,도움돼요,4
14451687,su******,2024-08-23 10:33:50.342803,아주 좋고 유익합니다.,집중돼요,4
14441243,fa******,2024-08-22 06:41:00.898218,추천해요 감사합니다.,추천해요,4
14439105,tj****,2024-08-21 23:44:24.125791,"사이토 타카시의 팬이라면 반드시 읽어야하는 책
",추천해요,4
14415376,ka******,2024-08-18 01:27:49.335235,일류가 되고 싶은 사람들을 위한 책,추천해요,4
14354131,le****,2024-08-08 21:21:24.858406,좋은 참고가 많이 되는거 같아요! ,도움돼요,4
14349018,dh********,2024-08-07 23:04:18.566531,어떤 분야든 숙달이 필요하다면 읽어야 하는 책,최고예요,4
14330080,dh********,2024-08-05 00:25:22.36721,오래된 책이지만 영감을 주는 책,집중돼요,4
14299988,wn*****************,2024-08-01 11:43:42.027215,한번쯤은 꼭 읽어볼만한 책이예요,최고예요,4
14299576,ca*******,2024-08-01 10:49:55.658665,오랫만에 재미있게 읽은 책입니다. 감사합니다.,도움돼요,4
14296189,si*****,2024-08-01 00:01:18.223442,이제는 고전의 깊이가 ...,도움돼요,4
14255558,di******,2024-07-26 11:27:29.248547,아직 안읽어봤는데 빨리 읽어봐야겠네요 ,추천해요,3
14237042,hi*****,2024-07-23 14:41:40.494556,일류의 조건 잘 읽었어요,도움돼요,4
14223685,sk***,2024-07-21 12:26:42.088011,일류의 조건이 될때까지 화이팅,최고예요,4
14215958,tp*****,2024-07-20 13:22:18.729584,다시 한번 생각하게 되네요,도움돼요,4
14188508,jh*******,2024-07-16 09:12:12.126877,일류의 조건에 대해 공부해 보는 책,도움돼요,4
14176186,go****,2024-07-14 14:21:14.748343,세상을 살아가는데 큰 도움이 될거 같습니다,도움돼요,4
14171073,qk********,2024-07-13 20:11:40.850818,책 너무 너무 좋고 도움됩니다,도움돼요,4
14166853,wh*******,2024-07-13 00:05:07.998664,일류의 조간을 알아보겠습니다,집중돼요,4
14137083,ty****,2024-07-08 04:52:22.26113,같은 말 여러번 반복하는게 없지 않아 있지만 완독해보겠습니다,쉬웠어요,4
14133100,dl********,2024-07-07 15:40:37.124722,살면서 들어봤음직한 문장들이지만 실생활에서 어떻게 적용해야할지에 대해 알려주는 책입니다.,도움돼요,4
14128155,st******,2024-07-06 20:02:09.742714,일류의 조건 유튜브에서 추천 받아 읽게 되었어요 일류가 되어야 겠어요 ㅎ,최고예요,4
14107729,ou********,2024-07-04 13:05:28.980943,10년이 지나도 다시 읽어볼 책,도움돼요,4
14088041,wh*******,2024-07-01 17:16:42.624367,아직 읽어보지는 않았지만 잘 읽겠습니다,집중돼요,4
14083219,kf****,2024-07-01 06:37:48.68193,"전문가가 되기 위해서 다음 세가지를 강조한다. 지식을 훔치는 힘, 요약하는 힘, 추진하는 힘.",최고예요,4
14077837,in****,2024-06-30 17:48:31.376861,오랜시간 지나 다시 나온 책인만큼 두루 읽기 좋아요,도움돼요,4
14074130,le*****,2024-06-30 11:04:29.334651,자기계발서적의 바이블이라고해서 구입했어요,도움돼요,4
14074051,Ib****,2024-06-30 10:52:14.113532,도움되는 내용 많아서 좋아요,도움돼요,4
14071420,po*******,2024-06-30 03:18:56.532661,두 번 읽게 되진 않을 것 같은데 괜찮은 책이었습니다 ,도움돼요,3
14060698,mi********,2024-06-28 23:17:59.508916,작품 재미있게 읽었습니다.,최고예요,4
14052763,01*****,2024-06-27 18:00:59.33471,선물용으로 구입합니다~,추천해요,4
14050152,ob****************,2024-06-27 08:55:23.3668,발간된지 20년 된 지난 책이지만 읽어 볼만 합니다,도움돼요,4
14038791,yj*****,2024-06-25 11:15:46.189957,재밌게 잘 읽었습니다. ,도움돼요,4
14029484,lb********,2024-06-23 21:40:31.071714,읽기 좋은 책입니다.,집중돼요,4
14028435,os*******,2024-06-23 18:11:51.841683,눈에 잘 들어오긴 하지만 다소 한국 말 번역으로서 조금 어색한 것들이 있엉 ,쉬웠어요,3
14023377,ls******,2024-06-22 21:19:19.712078,리뷰를 보고 구입하였는데 막상 내용은 좀 별로였던것 같습니다. 책 제목을 잘지은 효과가 있는것 같네요,쉬웠어요,2
14018379,mk*****,2024-06-21 23:30:21.528689,일류가 되기 위해서 준비해야 될걸 알려준다,추천해요,4
14006132,sc********************,2024-06-19 20:33:53.21838,읽어볼만해요 도움이 되는 내용이 많아요~,도움돼요,4
14005628,ro*******,2024-06-19 18:59:10.006597,간단하지만 잘만 활용하면 비즈니스나 근무하는데 도움이 되는 조언들인것 같습니다.,도움돼요,4
14003846,yu******,2024-06-19 12:56:57.685424,이유있는 재출간 좋아요,추천해요,4
14003539,oh****,2024-06-19 11:21:39.385031,자기계발서를 좋아해서 읽게 된 책!,추천해요,4
14002672,ch*****,2024-06-19 06:56:08.142693,책 상태가 항상 깔끔하여 기분이 좋습니다.,도움돼요,4
14002657,yo******,2024-06-19 06:50:36.783688,"기대 이상이네요.
많은 걸 배웠어요.",집중돼요,4
14002633,uo****,2024-06-19 06:42:11.379321,재미있게 잘 봤습니다.,도움돼요,4
13999598,ha********,2024-06-18 17:22:28.889284,진정한 노력을 위한 지침서입니다~,최고예요,3
13996820,gm*******,2024-06-18 09:44:49.549731,어휘력이 약한건지 책이 쉽게 읽히진 않지만 베스트셀러인 이유가 있는 책,최고예요,4
13993209,in*****,2024-06-17 22:18:26.952096,고전의 재발간. 추천합니다.,최고예요,4
13989340,mi********,2024-06-17 13:23:37.369381,박문호 교수님의 말이 너무 인상적이어서 구매했습니다.,도움돼요,4
13983543,ha***,2024-06-16 13:04:26.190529,"몸이 기억한다는 것은 평생 사용할 수 있다는 것입니다. 자전거 타기 처럼, 일류의 조건도 대단한 것이 없습니다. 습관화, 체질화가 정답.",도움돼요,4
13981392,yu*********,2024-06-16 00:04:37.50059,너무 인생에 도움되는 책입니다.,집중돼요,4
13951914,le*****,2024-06-11 12:49:07.010612,좋아요 맘에 들어요 ,도움돼요,4
13951122,ju********,2024-06-11 09:36:03.176798,내가 일류가 될 상인가?,집중돼요,4
13950527,ho********,2024-06-11 03:17:01.127163,재밌게 잘 읽었습니다.,도움돼요,4
13947511,zq****,2024-06-10 19:13:28.02984,재밌게 읽겠습니다ㅎㅎ,도움돼요,4
13946405,bi******,2024-06-10 15:25:13.611875,자기계발의 끝판왕임,최고예요,4
13944320,ca******,2024-06-10 07:02:22.704706,심오하지만 누구나 할 수 있다. 마음먹기다.,최고예요,4
13940809,ne******,2024-06-09 19:11:45.962077,잘 읽고 있습니다.  집중해서 읽게 되네요,도움돼요,4
13939745,wo******,2024-06-09 15:56:04.911953,3가지 방법을 실천하면 자기성장과 발전에 도움이 될 것 같아요,도움돼요,4
13924025,ye********,2024-06-07 16:17:27.184374,너무 너무 재밌고 유용하네요,도움돼요,4
13922414,to********,2024-06-07 09:56:06.905168,책 많이 읽은 분이 추천한,추천해요,4
13921030,91******,2024-06-07 00:06:39.052029,여러 예시를 들어가며 설명하는 부븐이 많아서 이햐하기 쉽습니다. 쇼츠에서 절판됬다가 다시 출판되는 걸 알았고. 엄청나게 좋은 챡이라길래 바로 구매햐서 읽었는데. 저 개인적으로는 누구나 아는 내용이지 않은가..?하는 생각이 커서 추찬하지는 못 할 것 같아요,쉬웠어요,2
13902716,fl*******,2024-06-04 22:04:17.458019,"허... 생각보다 용두사미 같은, 머릿말의 요약이 진짜 모든 것 같은데 한번 더 읽고 도움이 되는 부분만 좀더 뽑아내야겠어요'",쉬웠어요,2
13891779,tj*****,2024-06-03 16:13:16.291892,유익하게 읽었습니다,집중돼요,4
13873533,ro*******,2024-06-01 08:54:48.707746,읽고 싶었던 책인데 유익했음 좋겠네요,도움돼요,3
13864218,aa*****,2024-05-30 18:34:34.984719,"주석도 바로 밑단락에 있어서 읽기 편했어요
잘읽고있어요",추천해요,4
13863197,pl******,2024-05-30 15:11:44.163747,"일류의 조건, 3가지 핵심사항을 기억하며 삶속에서 적요해보아야겠다",추천해요,4
13862624,co****,2024-05-30 13:27:55.886987,좋은 책입니다. 추천합니다,추천해요,4
13856103,mi********,2024-05-29 13:58:13.943688,"이 책은 저자의 인사이트가 돋보이는 작품이다. 깊이 있는 분석과 독창적인 관점이 빛을 발하며, 독자에게 새로운 시각을 제공한다. 흥미진진한 내용 전개와 더불어, 지적 호기심을 자극하는 요소들이 가득하다. 강력히 추천하는 이유가 바로 여기 있다.",쉬웠어요,4
13854588,wi*****,2024-05-29 08:10:26.990341,오래전에 품절돼서 잊고 있었는데 다시 출판된걸 보고 얼른 구매했네요.,추천해요,4
13850214,po*****,2024-05-28 14:20:47.822403,집중되요.......,집중돼요,4
13849044,gk********,2024-05-28 09:41:37.955772,한번 읽어보면 도움이 됩니다.,최고예요,4
13843585,ye******,2024-05-27 14:59:54.873574,정말 재미나게 읽었습니다.,집중돼요,4
13839814,y9*****,2024-05-26 22:38:58.834405,신체감각의 기술화. 암기에 대한 생각을 뒤집어 엎었어요. 자기를 스타일 만들기가 일류의 조건. ,도움돼요,4
