리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
13391861,fu*******,2024-03-20 20:09:28.691151,"육아맘도 자기계발이 필수지요.
생각은 많고 행동은 안했는데 추진력있는 나의 변화 기대해봅니다.",추천해요,4
13567507,hw***,2024-04-15 22:56:22.053292,너무 너무 잘 봤습니다,도움돼요,4
13554498,ha********,2024-04-14 15:31:31.756044,왜 베스트셀러인지 알게되실겁니다,최고예요,4
13548811,yy*******,2024-04-13 15:09:25.109619,읽어보고 싶던 책인데 어렵지않고 술술 익혀요,최고예요,4
13544536,ka********,2024-04-12 20:23:55.49487,너무 읽고 싶어서 재출간하는날 구매해서 읽었는데 너무 좋아서 선물하려고 또 구매했습니다 ,도움돼요,4
13468783,wa*******,2024-04-01 09:28:54.691789,기대됩니다~^^!!,최고예요,4
13467568,ly*******,2024-04-01 00:58:11.817491,너무 좋은 책인 것 같습니다! 구매 추천드립니다!,도움돼요,4
13464786,pa********,2024-03-31 20:30:37.842481,일류가 되디 위한 노하우가 담겨있네요,도움돼요,4
13454509,mo*******,2024-03-30 04:17:44.815056,일류의 조건이 되는 숙달에 대하여 이야기 하고 있다.,도움돼요,4
13454189,ha***************,2024-03-30 01:05:46.585186,잘읽를께요 재판 많이기다렷어요,집중돼요,4
13449280,sw******,2024-03-29 11:19:22.770586,"예전부터 위시리스트에 읽고싶었던 책입니다
이렇게 만나게되어 기쁘네요
덕분에 주말내내 나를 돌아보는 힐링시간이었습니다",도움돼요,4
13443768,so******,2024-03-28 11:56:59.820617,잘 읽어보겠읍니다!,도움돼요,4
13438914,ha***************,2024-03-27 17:36:41.792116,읽어보고 적을께요요,추천해요,4
13432000,sd*****,2024-03-26 12:49:25.418032,"제본판으로 보고 책 내용이 좋아서 마음에 들었는데요
복간이 나와서 마침내 구매했습니다",쉬웠어요,4
13431980,kk*****,2024-03-26 12:42:43.941967,구매하고 싶은 책이었는데 마침내 구매하게 되었네요,도움돼요,4
13431975,go********,2024-03-26 12:36:44.68585,기대되네요 정말 좋습니다,도움돼요,4
